id,text
1,The checkout page always freezes when I use PayPal. This is the 3rd time.
2,Great UI! But I wish there was a dark mode option.
3,Pricing is a bit too high for the pro tier compared to competitors.
4,Customer support was completely unhelpful when my app crashed on iOS.
5,I love the new dashboard analytics features. Very intuitive.
6,Can we get an integration with Slack? It would save us a lot of time.
7,The mobile app is draining my battery really fast.
8,It's okay, but the loading times on the reporting page take over 10 seconds.
9,I need a way to export the reports to PDF.
10,Solid product overall, been using it for 2 years without major issues.
