text,label,sentiment,processed_text
so there is no way for me to plug it in here in the us unless i go by a converter.,0,negative,way plug u unless go converter
"good case, excellent value.",1,positive,good case excellent value
great for the jawbone.,1,positive,great jawbone
tied to charger for conversations lasting more than 45 minutes.major problems!!,0,negative,tied charger conversation lasting minutesmajor problem
the mic is great.,1,positive,mic great
i have to jiggle the plug to get it to line up right to get decent volume.,0,negative,jiggle plug get line right get decent volume
"if you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,negative,several dozen several hundred contact imagine fun sending one one
if you are razr owner...you must have this!,1,positive,razr owneryou must
"needless to say, i wasted my money.",0,negative,needless say wasted money
what a waste of money and time!.,0,negative,waste money time
and the sound quality is great.,1,positive,sound quality great
he was very impressed when going from the original battery to the extended battery.,1,positive,impressed going original battery extended battery
if the two were seperated by a mere 5+ ft i started to notice excessive static and garbled sound from the headset.,0,negative,two seperated mere ft started notice excessive static garbled sound headset
very good quality though,1,positive,good quality though
"the design is very odd, as the ear ""clip"" is not very comfortable at all.",0,negative,design odd ear clip comfortable
highly recommend for any one who has a blue tooth phone.,1,positive,highly recommend one blue tooth phone
i advise everyone do not be fooled!,0,negative,advise everyone fooled
so far so good!.,1,positive,far good
works great!.,1,positive,work great
it clicks into place in a way that makes you wonder how long that mechanism would last.,0,negative,click place way make wonder long mechanism would last
"i went on motorola's website and followed all directions, but could not get it to pair again.",0,negative,went motorolas website followed direction could get pair
i bought this to use with my kindle fire and absolutely loved it!,1,positive,bought use kindle fire absolutely loved
the commercials are the most misleading.,0,negative,commercial misleading
i have yet to run this new battery below two bars and that's three days without charging.,1,positive,yet run new battery two bar thats three day without charging
i bought it for my mother and she had a problem with the battery.,0,negative,bought mother problem battery
great pocket pc / phone combination.,1,positive,great pocket pc phone combination
i've owned this phone for 7 months now and can say that it's the best mobile phone i've had.,1,positive,ive owned phone month say best mobile phone ive
i didn't think that the instructions provided were helpful to me.,0,negative,didnt think instruction provided helpful
people couldnt hear me talk and i had to pull out the earphone and talk on the phone.,0,negative,people couldnt hear talk pull earphone talk phone
doesn't hold charge.,0,negative,doesnt hold charge
"this is a simple little phone to use, but the breakage is unacceptible.",0,negative,simple little phone use breakage unacceptible
this product is ideal for people like me whose ears are very sensitive.,1,positive,product ideal people like whose ear sensitive
it is unusable in a moving car at freeway speed.,0,negative,unusable moving car freeway speed
i have two more years left in this contract and i hate this phone.,0,negative,two year left contract hate phone
car charger as well as ac charger are included to make sure you never run out of juice.highy recommended,1,positive,car charger well ac charger included make sure never run juicehighy recommended
you need at least 3 mins to get to your phone book from the time you first turn on the phone.battery life is short.,0,negative,need least min get phone book time first turn phonebattery life short
it has kept up very well.,1,positive,kept well
poor talk time performance.,0,negative,poor talk time performance
the case is great and works fine with the 680.,1,positive,case great work fine
worthless product.,0,negative,worthless product
"it has a great camera thats 2mp, and the pics are nice and clear with great picture quality.",1,positive,great camera thats mp pic nice clear great picture quality
i was not impressed by this product.,0,negative,impressed product
nice headset priced right.,1,positive,nice headset priced right
i only hear garbage for audio.,0,negative,hear garbage audio
excellent bluetooth headset.,1,positive,excellent bluetooth headset
it has all the features i want,1,positive,feature want
who in their right mind is gonna buy this battery?.,0,negative,right mind gonna buy battery
after arguing with verizon regarding the dropped calls we returned the phones after two days.,0,negative,arguing verizon regarding dropped call returned phone two day
this case seems well made.,1,positive,case seems well made
disappointed with battery.,0,negative,disappointed battery
not loud enough and doesn't turn on like it should.,0,negative,loud enough doesnt turn like
good protection and does not make phone too bulky.,1,positive,good protection make phone bulky
a usable keyboard actually turns a pda into a real-world useful machine instead of just a neat gadget.,1,positive,usable keyboard actually turn pda realworld useful machine instead neat gadget
this phone is pretty sturdy and i've never had any large problems with it.,1,positive,phone pretty sturdy ive never large problem
i love this thing!,1,positive,love thing
everything about it is fine and reasonable for the price i.e.,1,positive,everything fine reasonable price ie
very disappointed.,0,negative,disappointed
i even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,positive,even dropped phone stream submerged second still work great
i have been very happy with the 510 and have had no complaints from any one regarding my sound quality on their end.,1,positive,happy complaint one regarding sound quality end
the buttons for on and off are bad.,0,negative,button bad
essentially you can forget microsoft's tech support.,0,negative,essentially forget microsofts tech support
"i really recommend this faceplates since it looks very nice, elegant and cool.",1,positive,really recommend faceplate since look nice elegant cool
these headphones were a great find - and i think they are perhaps the best purchase i've made in the last several years - seriously.,1,positive,headphone great find think perhaps best purchase ive made last several year seriously
buy a different phone - but not this.,0,negative,buy different phone
you have to hold the phone at a particular angle for the other party to hear you clearly.,0,negative,hold phone particular angle party hear clearly
the one big drawback of the mp3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,negative,one big drawback mp player button phone front cover let pause skip song lock second
"a week later after i activated it, it suddenly died.",0,negative,week later activated suddenly died
it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes.,1,positive,feel comfortable headset wear glass get way sometimes
great for ipods too.,1,positive,great ipod
this device is great in several situations:1.),1,positive,device great several situation
mic doesn't work.,0,negative,mic doesnt work
"even in my bmw 3 series which is fairly quiet, i have trouble hearing what the other person is saying.",0,negative,even bmw series fairly quiet trouble hearing person saying
great choice!,1,positive,great choice
nice docking station for home or work.,1,positive,nice docking station home work
this is a beautiful phone.,1,positive,beautiful phone
love this product.,1,positive,love product
do not buy for d807...wrongly advertised for d807.,0,negative,buy dwrongly advertised
this is a great little item.,1,positive,great little item
"i love this phone , it is very handy and has a lot of features .",1,positive,love phone handy lot feature
i purchased this and within 2 days it was no longer working!!!!!!!!!,0,negative,purchased within day longer working
i wear it everyday and it holds up very well.,1,positive,wear everyday hold well
not a good bargain.,0,negative,good bargain
"well packaged, arrived on time, and works as intended.",1,positive,well packaged arrived time work intended
the battery runs down quickly.,0,negative,battery run quickly
"this item worked great, but it broke after 6 months of use.",0,negative,item worked great broke month use
the headsets are easy to use and everyone loves them.,1,positive,headset easy use everyone love
this phone works great.,1,positive,phone work great
the construction of the headsets is poor.,0,negative,construction headset poor
product was excellent and works better than the verizon one and boy was it cheaper!,1,positive,product excellent work better verizon one boy cheaper
the phone loads super!,1,positive,phone load super
"for a product that costs as much as this one does, i expect it to work far better and with greater ease than this thing does.",0,negative,product cost much one expect work far better greater ease thing
made very sturdy.,1,positive,made sturdy
worked great!.,1,positive,worked great
the ear buds only play music in one ear.,0,negative,ear bud play music one ear
dont waste your money...,0,negative,dont waste money
will order from them again!,1,positive,order
if you plan to use this in a car forget about it.,0,negative,plan use car forget
i found this product to be waaay too big.,0,negative,found product waaay big
best i've found so far .... i've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,positive,best ive found far ive tried bluetooths one best quality listener well ease using
i'm very disappointed with my decision.,0,negative,im disappointed decision
integrated seamlessly with the motorola razr phone.,1,positive,integrated seamlessly motorola razr phone
"buyer beware, you could flush money right down the toilet.",0,negative,buyer beware could flush money right toilet
definitely a bargain.,1,positive,definitely bargain
the price was very good and with the free shipping and all it was a good purchase.,1,positive,price good free shipping good purchase
i received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,negative,received supposedly new motorola apparently match phone charger
"pros:-good camera - very nice pictures , also has cool styles like black and white, and more.",1,positive,prosgood camera nice picture also cool style like black white
"that's a huge design flaw (unless i'm not using it correctly, which i don't think is the case).",0,negative,thats huge design flaw unless im using correctly dont think case
"i love my 350 headset.. my jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,positive,love headset jabra bluetooth headset great reception good ear piece comfortable fit
"the camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,negative,camera although rated impressive megapixels render image fall well expectation relatively high resolution
i purcashed this for the car charger and it does not work.,0,negative,purcashed car charger work
"sound quality on both end is excellent, i use headset to call my wife and ask my wife to use headset to call me !2.",1,positive,sound quality end excellent use headset call wife ask wife use headset call
this phone is slim and light and the display is beautiful.,1,positive,phone slim light display beautiful
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,positive,little geeky think thats sex toast rock ooze sex right battery embedded sleek stylish leather case
"great product, fast shipping!.",1,positive,great product fast shipping
absolutely great.,1,positive,absolutely great
the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad.,1,positive,keyboard nice compromise full qwerty basic cell phone number keypad
i got this phone around the end of may and i'm completely unhappy with it.,0,negative,got phone around end may im completely unhappy
it is very comfortable on the ear.,1,positive,comfortable ear
it has been a winner for us.,1,positive,winner u
